Datetime (Local Standard),Station ID,Station Name,Timezone,Datetime (UTC),Temp (deg C),Dew Point Temp (deg C),Rel Hum (%),Wind Dir (deg),Wind Spd (km/h),Visibility (km),Pressure (kPa),Hmdx,Wind Chill,Conditions
2018-05-21 17:00:00,YYC,CALGARY INTL A,MST,2018-05-22 00:00:00,23.0,2.3,25.0,100.0,13.0,48.3,88.74,,,Mainly Clear
2018-05-21 18:00:00,YYC,CALGARY INTL A,MST,2018-05-22 01:00:00,22.7,3.2,27.0,100.0,10.0,48.3,88.75,,,Mainly Clear
2018-05-21 19:00:00,YYC,CALGARY INTL A,MST,2018-05-22 02:00:00,19.5,5.2,39.0,80.0,10.0,64.4,88.76,,,Mainly Clear
2018-05-21 20:00:00,YYC,CALGARY INTL A,MST,2018-05-22 03:00:00,18.6,4.8,40.0,70.0,12.0,48.3,88.8,,,Mainly Clear
2018-05-21 21:00:00,YYC,CALGARY INTL A,MST,2018-05-22 04:00:00,18.4,4.1,39.0,150.0,16.0,48.3,88.86,,,Mainly Clear
2018-05-21 22:00:00,YYC,CALGARY INTL A,MST,2018-05-22 05:00:00,15.9,4.2,45.0,90.0,11.0,24.1,88.9,,,Mainly Clear
2018-05-21 23:00:00,YYC,CALGARY INTL A,MST,2018-05-22 06:00:00,16.3,4.0,44.0,40.0,5.0,24.1,88.93,,,Clear
2018-05-22 00:00:00,YYC,CALGARY INTL A,MST,2018-05-22 07:00:00,13.6,4.9,55.0,340.0,7.0,24.1,88.96,,,Clear
2018-05-22 01:00:00,YYC,CALGARY INTL A,MST,2018-05-22 08:00:00,14.8,4.7,50.0,300.0,3.0,24.1,88.99,,,Clear
2018-05-22 02:00:00,YYC,CALGARY INTL A,MST,2018-05-22 09:00:00,11.4,5.1,65.0,30.0,7.0,24.1,89.01,,,Mostly Cloudy
2018-05-22 03:00:00,YYC,CALGARY INTL A,MST,2018-05-22 10:00:00,11.0,5.2,67.0,330.0,4.0,24.1,89.02,,,Mostly Cloudy
2018-05-22 04:00:00,YYC,CALGARY INTL A,MST,2018-05-22 11:00:00,10.6,5.2,69.0,10.0,7.0,24.1,89.06,,,Mostly Cloudy
2018-05-22 05:00:00,YYC,CALGARY INTL A,MST,2018-05-22 12:00:00,10.1,5.1,71.0,350.0,7.0,48.3,89.09,,,Mostly Cloudy
2018-05-22 06:00:00,YYC,CALGARY INTL A,MST,2018-05-22 13:00:00,11.5,5.2,65.0,340.0,10.0,48.3,89.12,,,Mostly Cloudy
