Name,Year,Count,Fraction
AALIYAH,2000,6,0.0004332755632582322
AALIYAH,2001,13,0.0009476600087476309
AALIYAH,2002,17,0.0012712181260749271
AALIYAH,2003,23,0.0016996748448122967
AALIYAH,2004,22,0.0016439994021820357
AALIYAH,2005,26,0.0019015578146712498
AALIYAH,2006,19,0.001378309756982227
AALIYAH,2007,19,0.001332398316970547
AALIYAH,2008,25,0.0017216445148405758
AALIYAH,2009,24,0.0016210739614994933
AALIYAH,2010,19,0.0013309050154104792
AALIYAH,2011,19,0.001317705804840835
AALIYAH,2012,21,0.0014628030091947619
AALIYAH,2013,27,0.0018660584698320546
AALIYAH,2014,28,0.0019046323379361947
AANYA,2010,7,0.0004903334267301765
AANYA,2012,5,0.00034828643076065756
AARYA,2013,5,0.00034556638330223235
AARYA,2014,6,0.00040813550098632746
ABBEY,1994,5,0.0002956131015726617
ABBEY,1996,6,0.0003692307692307692
ABBEY,1997,8,0.0005099764135908714
ABBEY,1998,8,0.0005309264666843643
ABBEY,1999,12,0.0008398656215005599
ABBEY,2001,8,0.000583175389998542
ABBEY,2002,14,0.0010468855155911165
ABBEY,2003,11,0.000812887969258055
ABBEY,2004,13,0.0009714541921984755
ABBEY,2005,12,0.0008776420683098077
ABBEY,2006,5,0.0003627130939426913
ABBEY,2007,7,0.0004908835904628332
ABBEY,2008,9,0.0006197920253426072
ABBEY,2009,9,0.0006079027355623101
ABBIE,1999,5,0.0003499440089585666
ABBIE,2001,7,0.0005102784662487243
ABBIE,2003,6,0.0004433934377771209
ABBIE,2004,5,0.00037363622776864444
ABBIE,2008,6,0.00041319468356173817
ABBIE,2013,6,0.00041467965996267884
ABBIE,2014,5,0.0003401129174886062
ABBIGAIL,2000,5,0.0003610629693818602
ABBIGAIL,2003,7,0.0005172923440733077
ABBIGAIL,2006,7,0.0005077983315197679
ABBIGAIL,2007,6,0.00042075736325385696
ABBIGAIL,2008,9,0.0006197920253426072
ABBIGAIL,2009,6,0.0004052684903748733
ABBIGAIL,2010,10,0.0007004763239002522
ABBIGAIL,2011,7,0.0004854705596782024
ABBIGAIL,2012,8,0.0005572582892170521
ABBY,1979,7,0.0004712852622365852
ABBY,1983,7,0.0004182350480970305
ABBY,1986,5,0.00030946339048090613
ABBY,1991,6,0.0003522780648191639
ABBY,1993,6,0.00035612535612535614
ABBY,1994,15,0.0008868393047179851
ABBY,1995,11,0.0006634499396863692
ABBY,1996,9,0.0005538461538461539
ABBY,1997,15,0.0009562057754828839
ABBY,1998,12,0.0007963897000265463
ABBY,1999,12,0.0008398656215005599
ABBY,2000,16,0.0011554015020219526
ABBY,2001,42,0.003061670797492346
ABBY,2002,30,0.0022433261048381064
ABBY,2003,21,0.0015518770322199232
ABBY,2004,19,0.0014198176655208488
ABBY,2005,36,0.002632926204929423
ABBY,2006,20,0.0014508523757707653
ABBY,2007,27,0.0018934081346423561
ABBY,2008,21,0.0014461813924660837
ABBY,2009,20,0.0013508949679162446
ABBY,2010,16,0.0011207621182404036
ABBY,2011,14,0.0009709411193564048
ABBY,2012,7,0.0004876010030649206
ABBY,2013,17,0.00117492570322759
ABBY,2014,21,0.001428474253452146
ABIGAIL,1977,6,0.00043572984749455336
ABIGAIL,1979,5,0.00033663233016898944
